Class,Green Area,Yellow Area,No. of Green Contours,No. of Yellow Contours,No. of flowers
0,15618,496,102,23,0
0,16912,165,94,33,0
0,16001,102,92,29,0
0,3178,608,50,105,0
0,3172,955,58,136,0
0,36832,4080,191,238,4
0,61887,7087,149,191,3
0,41034,5373,181,258,3
0,4993,1418,61,142,2
0,7234,9525,153,132,2
0,3015,1829,54,96,1
0,4242,3090,46,72,1
0,5071,2356,47,85,2
0,4674,2131,52,109,3
0,2168,1465,46,122,1
0,248,1422,28,68,2
0,978,1220,63,79,1
0,9734,732,91,56,0
0,754,1692,12,84,1
0,1735,1460,39,83,1
0,25862,794,43,119,0
0,38336,1585,54,140,2
0,0,70301,0,370,6
0,0,22664,0,331,6
0,126,5099,11,298,7
0,5772,4684,35,244,4
0,62,12602,3,212,5
0,10,8039,1,206,8
0,1,11693,1,306,5
0,103,7656,8,246,9
0,18509,2707,54,159,2
0,36715,1050,29,77,1
0,10320,1968,34,177,1
0,12390,1212,29,96,2
0,3130,4663,34,340,2
0,5450,5319,43,315,7
0,5249,8881,15,427,11
0,35520,1541,46,122,1
0,19706,2234,93,85,1
0,20835,717,32,108,0
0,10109,1991,51,188,3
0,12380,2882,71,201,3
0,6236,3047,60,131,3
0,10189,3866,52,99,0
0,16592,9206,59,215,4
0,28898,1958,31,189,3
0,15242,6176,70,266,7
0,54399,3621,72,160,3
0,25433,349,85,76,0
0,27577,2220,70,102,3
1,45877,40020,123,73,4
1,11840,3665,223,177,6
1,33235,1789,169,115,5
1,68730,2472,175,120,2
1,22166,1514,177,88,1
1,43132,4190,160,165,6
1,72880,6676,100,202,9
1,68996,2137,170,198,3
1,18556,3668,136,188,3
1,46847,10782,143,306,9
1,35628,2993,116,311,9
1,26681,3417,136,168,2
1,69582,4794,96,64,4
1,78730,1537,49,314,1
1,124462,4180,109,88,2
1,134764,4363,134,116,4
1,47246,2584,69,161,5
1,43315,2667,92,185,2
1,73552,1633,86,189,2
1,80527,3034,137,201,2
1,108514,4814,135,71,4
1,98926,3044,114,96,2
1,54302,6145,77,117,3
1,45318,7934,180,117,3
1,93940,2981,113,106,5
1,73265,3681,117,102,2
1,103838,5067,172,176,4
1,72748,18978,162,191,3
1,66661,2569,115,117,2
1,239044,3819,374,186,2
1,207092,4690,246,236,3
1,124967,2689,239,269,1
1,96581,4559,153,117,2
1,114374,13734,273,287,9
1,117429,2586,197,248,2
1,43552,6592,331,197,3
1,104979,3576,259,351,7
1,93521,7215,294,248,8
1,104651,2798,171,393,3
1,107397,1617,266,349,3
1,133446,2198,141,280,6
1,120614,10720,169,278,12
1,128134,13631,207,269,1
1,115080,5909,192,223,4
1,110861,4464,93,193,3
1,77496,10370,192,269,7
1,146135,5633,206,256,2
1,221521,6914,130,243,3
1,144944,4882,228,169,4